activity_id,master_code,activity_title,city_name,country_name,image_number,quality_score,pix_url,rank
498464,1045267,SkyPoint Observation Deck Ticket,Gold Coast,Australia,5,75,https://pix6.agoda.net/generic/ebb507b1e3895fd260d7801a46b90078.jpeg?ce=2,5
498464,1045267,SkyPoint Observation Deck Ticket,Gold Coast,Australia,6,75,https://pix6.agoda.net/generic/a743a1de907af2693eacdd88cf30676b.jpeg?ce=2,6
498464,1045267,SkyPoint Observation Deck Ticket,Gold Coast,Australia,7,71,https://pix6.agoda.net/generic/8ffca62ea2f21c7f8573ee0e7dc4be47.jpeg?ce=2,7
498464,1045267,SkyPoint Observation Deck Ticket,Gold Coast,Australia,8,57,https://pix6.agoda.net/generic/d34af9b1b8de4e56adf1d404f03289f7.jpeg?ce=2,8
874642,1040761,Sydney Taronga Zoo General Entry Ticket,Sydney,Australia,1,84,https://pix6.agoda.net/generic/7f1693fdf0fcb16ad07ab044be72c25f.jpeg?ce=0,1
874642,1040761,Sydney Taronga Zoo General Entry Ticket,Sydney,Australia,2,84,https://pix6.agoda.net/generic/e620beab79b9de90cd0c85250c992ec7.jpeg?ce=0,2
874642,1040761,Sydney Taronga Zoo General Entry Ticket,Sydney,Australia,3,84,https://pix6.agoda.net/generic/756898470fc66208d927547375363a32.jpeg?ce=0,3
874642,1040761,Sydney Taronga Zoo General Entry Ticket,Sydney,Australia,4,84,https://pix6.agoda.net/generic/194101c1f500e7c180e26ca653c810e9.jpeg?ce=0,4
874642,1040761,Sydney Taronga Zoo General Entry Ticket,Sydney,Australia,5,83,https://pix6.agoda.net/generic/97b8b12dac900d81056d2d5e8d1ab1f4.jpeg?ce=0,5
874642,1040761,Sydney Taronga Zoo General Entry Ticket,Sydney,Australia,6,81,https://pix6.agoda.net/generic/cf8938dc34c789577f3e284ad0b63cd3.jpeg?ce=0,6
874642,1040761,Sydney Taronga Zoo General Entry Ticket,Sydney,Australia,7,81,https://pix6.agoda.net/generic/8990facfbb03000be979be54ce5a822f.jpeg?ce=0,7
